0,0,NaN,2021-04-06,2021-04-18,2021-04-30,2021-05-12,2021-05-24,2021-06-05,2021-06-17,2021-06-29,2021-07-11,2021-07-23,2021-08-04,2021-08-16,2021-08-28,2021-09-09,2021-09-21,2021-10-03,2021-10-15,2021-10-27,2022-04-01,2022-04-13,2022-04-25,2022-05-07,2022-05-19,2022-05-31,2022-06-12,2022-07-06,2022-07-18,2022-07-30,2022-08-11,2022-08-23,2022-09-04,2022-09-16,2022-09-28,2022-10-10,2022-10-22,2023-04-08,2023-04-20,2023-05-02,2023-05-14,2023-05-26,2023-06-07,2023-06-19,2023-07-01,2023-07-13,2023-07-25,2023-08-06,2023-08-18,2023-08-30,2023-09-11,2023-09-23,2023-10-05,2023-10-17
49.10533,55.80228,-3.509166,10.79468,9.203804,-13.05195,-10.93992,-12.37368,-12.72903,-12.43454,11.78502,-11.46936,11.12206,9.932297,12.34003,13.06433,9.642672,9.342854,6.371706,5.798038,4.373207,5.620048,-2.438046,1.405313,-3.211833,-2.406936,2.357675,2.04142,1.288119,2.732222,2.048625,3.840536,0.9361096,1.122701,-1.106994,-1.603516,-2.649012,-0.338385,-0.9695266,-3.2027,-1.461184,-4.455115,-2.541978,-4.849448,-2.905025,-4.412751,-6.230168,-5.750125,-4.668144,-4.830321,-6.702419,-7.372742,-6.906937,-10.26773,-7.944648
49.10585,55.8021,-6.423156,0.1225694,8.629669,7.493649,4.999935,10.99364,3.350789,10.20352,9.751571,8.79073,7.421073,6.590309,10.93672,4.527379,8.692148,-0.5997094,1.35345,3.755012,-0.8380781,6.48855,-1.228147,1.905662,0.242617,-2.13137,-4.839438,-2.945881,-1.057952,1.621805,0.2016433,0.6232459,1.257912,-0.1780521,0.2018944,0.1260869,-3.342601,-2.483411,-4.752216,-1.798787,-3.028588,-8.899235,-1.186702,-5.406102,-6.445877,-10.57608,-5.411603,-9.043986,-8.013248,-7.53713,-8.150343,-11.24048,-5.889989,-9.445916,-10.00471
49.10537,55.80215,-6.328557,12.84989,13.47115,-12.23502,10.60084,10.03268,-11.45322,-12.22521,3.998672,10.95873,10.8969,9.546561,11.55125,13.29803,5.633839,7.23451,5.432882,6.964864,8.1683,-0.8892292,-2.390205,-0.4289909,2.570455,0.9932261,-0.9082798,-4.514239,0.1015052,-0.488796,-1.129518,0.7763342,1.116802,-3.00392,-1.502636,-0.5061443,-2.208363,-1.28813,-6.579727,-3.011304,-6.613621,-5.720668,-2.934466,-2.326896,-7.146506,-6.091433,-8.200448,-8.380134,-8.177194,-7.628199,-9.359211,-8.294972,-9.365251,-9.253395,-9.53425
49.10533,55.80216,2.778426,-9.484743,-6.549172,-1.269232,-3.335075,-5.501561,-2.937186,-1.899256,-2.28956,-2.345111,-5.821193,-9.19143,-6.263935,-6.730372,-11.40752,-10.95018,-11.54276,-10.67867,-9.568873,6.490765,6.025903,7.053523,6.410737,-8.354279,6.151345,6.191259,6.61975,9.733308,7.910907,11.16403,7.773228,6.185215,3.429715,6.713058,3.002816,3.420069,0.6378953,2.281143,2.802674,1.754645,4.825352,3.605929,-1.07689,3.19668,-2.103518,-0.6437661,-1.559017,-0.1439039,-2.552378,-2.798273,-3.254189,-5.530834,-4.38893
49.10529,55.80216,-0.6895373,-11.32964,-11.30055,-6.876547,-8.191724,-8.938972,-7.525293,-7.039786,12.12189,-2.352422,-7.189432,-12.33133,-11.43693,-10.80424,11.72983,12.89395,9.319079,10.53659,10.16337,6.464704,0.3678564,3.039404,4.90646,1.345372,3.476606,2.570261,3.79818,4.315812,3.716474,3.977497,3.574823,1.818577,1.74538,1.595826,0.9844617,1.520845,-0.9933,0.4126861,-0.3539765,-2.267627,-0.1628829,0.7530399,-2.64783,-1.473406,-3.387809,-5.268987,-3.489514,-3.95932,-3.634718,-4.818245,-4.925733,-7.316114,-7.970234
49.10523,55.80217,-1.586577,-12.34358,13.34244,-9.273268,-9.614515,-11.0376,-9.717425,-10.72521,-12.52843,-9.90314,13.98961,13.18143,-13.47613,-12.44554,10.72798,12.82496,9.177421,9.480078,9.745956,5.5478,0.5122262,3.215242,1.728844,2.245214,3.328784,2.218431,2.765753,3.662574,3.277056,3.879134,2.059308,1.878635,1.143011,0.7633491,-0.09321047,1.672135,-1.260568,-1.466757,-1.216488,-2.315711,-0.6927996,-1.525763,-2.095487,-2.837012,-4.323625,-4.800905,-4.205253,-4.767863,-5.150283,-5.65494,-5.560485,-7.873397,-7.74324
49.10518,55.80217,-7.6335,6.47445,7.277556,10.87169,11.17956,8.669724,10.93805,9.983989,7.222006,10.35597,7.573611,6.572758,8.182639,7.983662,2.937091,7.185505,4.31741,4.670426,3.006707,-3.422558,-3.547306,-0.2604576,-0.9501532,-1.867397,-2.139402,-2.660552,-1.06041,-0.1249804,-1.733439,-0.5234665,-3.200563,-2.78524,-5.180403,-2.408708,-4.155541,-2.269729,-5.562584,-5.305993,-5.82656,-7.433293,-3.850686,-4.257623,-4.696666,-7.650062,-8.976686,-9.342052,-7.243004,-8.219609,-8.330794,-9.768482,-9.344817,-11.30951,-11.03306
49.10757,55.80179,-7.4247,8.679242,8.272118,5.753544,8.561843,11.58723,7.856533,4.701758,9.185851,2.6833,3.231427,3.385337,5.382348,4.872285,7.665795,7.25639,8.083314,8.570114,9.459834,5.373358,3.751256,3.181703,-1.308058,4.174705,-1.529222,-2.605194,-5.659993,-3.47681,-0.9667501,-1.028098,-7.181942,0.03892262,-2.975972,-2.313797,-1.214136,0.9616876,-5.549317,-4.771661,-4.392009,-4.174315,-5.158243,-5.904343,-7.725054,-9.294749,-8.705824,-10.67504,-12.43847,-12.12098,-6.632848,-9.819294,-9.108266,-8.095041,-8.282718
49.10516,55.80205,-0.3828081,-10.72703,-9.787818,-0.525868,-7.095074,-7.678127,-3.724011,-6.331561,8.897744,-1.253693,-5.695907,-10.13924,-10.72567,-10.21307,10.88571,-12.60182,12.3217,13.44577,12.55201,5.645469,1.040851,3.18101,5.831371,-1.507586,3.120823,4.021985,4.311378,6.641249,3.866538,5.38582,2.655625,1.4217,-0.3729365,1.180336,1.32381,1.514633,-0.7366316,1.792506,-0.490469,-1.719092,-0.07643028,1.92432,-1.408754,-1.223104,-3.435108,-5.376743,-4.304852,-1.972162,-2.146783,-3.776813,-4.70629,-7.479799,-8.91216
49.10511,55.80206,3.137214,-7.7367,-9.404018,-1.606636,-4.375463,-4.644667,-4.612854,-6.533949,-0.4685321,-4.258873,-7.279418,-7.089158,-8.69914,-7.811603,-10.55023,-9.102638,-10.25678,-11.99167,-10.672,8.313455,6.5618,7.373926,6.330774,8.672185,7.417414,6.58946,7.327297,7.470084,7.688467,7.455633,6.083468,5.762967,7.285994,4.119365,4.473931,6.202759,1.587319,1.199336,2.164115,2.17195,3.078799,3.227095,2.294792,0.5587342,-0.09535904,-1.620655,-0.8919719,0.4159911,-1.841173,-2.26483,-2.837005,-5.740395,-4.168245
